time,data
2025-12-02T01:12:38.365Z,19.339483
2025-12-02T01:12:39.069Z,19.6196
2025-12-02T01:12:39.871Z,19.631033
2025-12-02T01:12:40.479Z,19.625315
2025-12-02T01:12:41.279Z,19.625315
2025-12-02T01:12:42.082Z,19.596733
2025-12-02T01:12:43.182Z,19.625315
2025-12-02T01:12:43.985Z,19.631033
2025-12-02T01:12:44.768Z,19.631033
2025-12-02T01:12:45.367Z,19.63675
2025-12-02T01:12:46.198Z,19.185133
2025-12-02T01:12:47.034Z,2.5496333
2025-12-02T01:12:48.099Z,14.434583
2025-12-02T01:12:48.810Z,12.67385
2025-12-02T01:12:49.457Z,18.784966
2025-12-02T01:12:50.515Z,18.74495
2025-12-02T01:12:51.113Z,19.030783
2025-12-02T01:12:51.921Z,19.6196
2025-12-02T01:12:53.016Z,19.4824
2025-12-02T01:12:53.791Z,19.202284
2025-12-02T01:12:54.528Z,17.092833
2025-12-02T01:12:55.231Z,19.208
2025-12-02T01:12:56.329Z,19.476683
2025-12-02T01:12:57.132Z,19.208
2025-12-02T01:12:57.839Z,19.202284
2025-12-02T01:12:58.736Z,19.196566
2025-12-02T01:12:59.300Z,19.202284
2025-12-02T01:13:00.145Z,19.202284
2025-12-02T01:13:00.939Z,19.356634
2025-12-02T01:13:01.759Z,19.350916
2025-12-02T01:13:02.815Z,19.333765
2025-12-02T01:13:03.557Z,7.231583
2025-12-02T01:13:04.457Z,4.5847664
2025-12-02T01:13:05.560Z,14.909066
2025-12-02T01:13:05.874Z,15.549333
2025-12-02T01:13:06.870Z,14.120166
2025-12-02T01:13:07.768Z,17.384382
2025-12-02T01:13:08.571Z,7.1001
2025-12-02T01:13:09.134Z,19.0708
2025-12-02T01:13:09.990Z,19.208
2025-12-02T01:13:10.790Z,19.219433
2025-12-02T01:13:11.602Z,17.487284
2025-12-02T01:13:12.686Z,19.208
2025-12-02T01:13:13.243Z,19.196566
2025-12-02T01:13:14.094Z,19.19085
2025-12-02T03:52:43.340Z,25.141764
2025-12-02T03:52:43.546Z,25.094704
2025-12-02T03:52:43.749Z,25.094704
2025-12-02T03:52:44.345Z,25.141764
2025-12-02T03:52:44.547Z,25.188824
2025-12-02T03:52:45.047Z,25.094704
2025-12-02T03:52:45.248Z,25.141764
2025-12-02T03:52:45.499Z,25.141764
2025-12-02T03:52:45.860Z,25.094704
2025-12-02T03:52:46.393Z,25.141764
2025-12-02T03:52:46.562Z,25.094704
2025-12-02T03:52:47.156Z,25.141764
2025-12-02T03:52:47.356Z,25.094704
2025-12-02T03:52:47.761Z,25.047646
2025-12-02T03:52:47.959Z,25.188824
2025-12-02T03:52:48.560Z,25.141764
2025-12-02T03:52:48.761Z,25.141764
2025-12-02T03:52:49.266Z,25.188824
2025-12-02T03:52:49.662Z,25.094704
2025-12-02T03:52:49.866Z,25.141764
2025-12-02T03:52:50.086Z,25.094704
2025-12-02T03:52:50.669Z,25.188824
2025-12-02T03:52:50.869Z,25.235882
2025-12-02T03:52:51.371Z,25.235882
2025-12-02T03:52:51.770Z,25.28294
2025-12-02T03:52:51.973Z,25.28294
