time,data
2025-12-02T01:12:43.784Z,50.438152
2025-12-02T01:12:44.588Z,50.060852
2025-12-02T01:12:45.353Z,50.163754
2025-12-02T01:12:46.192Z,50.060852
2025-12-02T01:12:46.989Z,5.773833
2025-12-02T01:12:47.898Z,24.513067
2025-12-02T01:12:48.701Z,10.632999
2025-12-02T01:12:49.447Z,35.70058
2025-12-02T01:12:50.410Z,50.169464
2025-12-02T01:12:51.109Z,50.289516
2025-12-02T01:12:51.913Z,50.421
2025-12-02T01:12:52.815Z,50.752563
2025-12-02T01:12:53.618Z,50.186615
2025-12-02T01:12:54.424Z,46.350735
2025-12-02T01:12:55.225Z,50.180897
2025-12-02T01:12:56.127Z,50.055134
2025-12-02T01:12:56.930Z,50.060852
2025-12-02T01:12:57.734Z,50.066563
2025-12-02T01:12:58.536Z,50.306667
2025-12-02T01:12:59.296Z,52.564747
2025-12-02T01:13:00.141Z,50.30095
2025-12-02T01:13:00.927Z,50.306667
2025-12-02T01:13:01.752Z,50.421
2025-12-02T01:13:02.650Z,50.426716
2025-12-02T01:13:03.453Z,49.900784
2025-12-02T01:13:04.256Z,44.241283
2025-12-02T01:13:05.162Z,50.30095
2025-12-02T01:13:05.861Z,50.129444
2025-12-02T01:13:06.764Z,43.355198
2025-12-02T01:13:07.570Z,50.180897
2025-12-02T01:13:08.371Z,50.186615
2025-12-02T01:13:09.129Z,50.438152
2025-12-02T01:13:09.977Z,50.180897
2025-12-02T01:13:10.780Z,50.180897
2025-12-02T01:13:11.593Z,50.152313
2025-12-02T01:13:12.486Z,50.055134
2025-12-02T01:13:13.230Z,50.0094
2025-12-02T01:13:14.090Z,50.426716
2025-12-02T03:20:54.754Z,0.2547426
2025-12-02T03:20:54.819Z,0.13118067
2025-12-02T03:20:55.068Z,0.43853936
2025-12-02T03:20:55.550Z,0.17547745
2025-12-02T03:20:55.654Z,0.30758297
2025-12-02T03:20:56.052Z,0.2678131
2025-12-02T03:20:56.252Z,0.3959122
2025-12-02T03:20:56.452Z,0.5599058
2025-12-02T03:20:56.653Z,0.7329051
2025-12-02T03:20:56.858Z,0.42067033
2025-12-02T03:20:56.973Z,0.6161883
2025-12-02T03:20:57.455Z,0.28267372
2025-12-02T03:20:57.661Z,0.3182001
2025-12-02T03:20:57.861Z,0.52021056
2025-12-02T03:20:58.061Z,0.51505804
2025-12-02T03:20:58.459Z,0.3144443
2025-12-02T03:20:58.564Z,0.30621582
2025-12-02T03:20:58.662Z,0.4036483
2025-12-02T03:20:58.895Z,0.721845
2025-12-02T03:20:59.167Z,0.3945194
2025-12-02T03:20:59.378Z,0.4841603
2025-12-02T03:20:59.866Z,0.46270296
2025-12-02T03:20:59.970Z,0.7391975
2025-12-02T03:21:00.096Z,0.62440395
2025-12-02T03:21:00.566Z,0.6346581
2025-12-02T03:21:00.768Z,1.6817675
2025-12-02T03:21:00.873Z,1.642267
2025-12-02T03:21:01.083Z,1.7557182
2025-12-02T03:21:01.570Z,1.8023243
2025-12-02T03:21:01.771Z,1.8753556
2025-12-02T03:21:01.973Z,1.831682
2025-12-02T03:21:02.083Z,1.4394064
2025-12-02T03:21:02.265Z,1.958037
2025-12-02T03:21:02.679Z,1.8555572
2025-12-02T03:21:02.743Z,2.171681
2025-12-02T03:21:02.988Z,2.555567
2025-12-02T03:21:03.477Z,2.3649352
2025-12-02T03:21:03.678Z,2.118825
2025-12-02T03:21:03.878Z,1.7606893
2025-12-02T03:21:04.079Z,2.4215772
2025-12-02T03:21:04.448Z,2.6844811
2025-12-02T03:21:04.487Z,3.2386656
2025-12-02T03:21:04.685Z,3.326589
2025-12-02T03:21:05.182Z,3.1544867
2025-12-02T03:21:05.384Z,3.281077
2025-12-02T03:21:05.585Z,3.782314
2025-12-02T03:21:05.787Z,3.9564664
2025-12-02T03:21:05.893Z,4.225545
2025-12-02T03:21:06.387Z,3.8626704
2025-12-02T03:21:06.588Z,4.0515833
2025-12-02T03:21:06.703Z,4.3295608
2025-12-02T03:21:07.090Z,4.4724755
2025-12-02T03:21:07.207Z,4.05461
2025-12-02T03:21:07.339Z,4.071415
2025-12-02T03:21:07.565Z,3.6749465
2025-12-02T03:21:07.815Z,3.8412654
2025-12-02T03:21:08.198Z,3.8428087
2025-12-02T03:21:08.297Z,3.7208707
2025-12-02T03:21:08.798Z,4.050551
2025-12-02T03:21:08.996Z,4.0785427
2025-12-02T03:21:09.197Z,4.1333237
2025-12-02T03:21:09.398Z,3.9851725
