timestamp,accX,accY,accZ
745,1.0637207,1.8503158,0.0015267176
749,1.0637207,-0.005859375,0.0015267176
750,1.0637207,-0.005859375,0.021728516
751,1.0576172,3.6631935,-0.00045801536
752,1.0576172,-0.005859375,-0.00045801536
753,1.0576172,-0.005859375,0.022216797
760,1.0656738,5.437436,0.0013740457
761,1.0656738,-0.00024414062,0.0013740457
762,1.0656738,-0.00024414062,0.017822266
763,1.0649414,7.18114,0.0051908395
764,1.0649414,0.0043945312,0.0051908395
765,1.0649414,0.0043945312,0.018798828
766,1.0598145,8.894363,0.007938931
767,1.0598145,0.0036621094,0.007938931
774,1.0598145,0.0036621094,0.023925781
775,1.0510254,10.502518,0.021068702
776,1.0510254,0.030761719,0.021068702
777,1.0510254,0.030761719,0.07006836
784,1.0256348,12.1970625,-0.14458016
785,1.0256348,0.13208008,-0.14458016
786,1.0256348,0.13208008,-0.063964844
790,1.0036621,13.650784,-0.09022901
791,1.0036621,-0.06323242,-0.09022901
792,1.0036621,-0.06323242,0.07836914
793,1.1933594,15.153796,-0.060152676
794,1.1933594,-0.041992188,-0.060152676
795,1.1933594,-0.041992188,0.02319336
802,1.052002,16.62337,-0.10366413
803,1.052002,0.01586914,-0.10366413
804,1.052002,0.01586914,-0.014160156
805,1.0021973,18.346836,0.12885496
806,1.0021973,-0.111572266,0.12885496
807,1.0021973,-0.111572266,0.2536621
811,1.0537109,19.766062,-0.28595418
812,1.0537109,-0.12060547,-0.28595418
813,1.0537109,-0.12060547,-0.4013672
820,1.0869141,21.089628,-0.4425954
821,1.0869141,0.053710938,-0.4425954
822,1.0869141,0.053710938,0.20874023
826,1.1003418,22.164383,-0.74305344
827,1.1003418,-0.27368164,-0.74305344
828,1.1003418,-0.27368164,0.13183594
829,1.0864258,23.533566,-0.7838168
830,1.0864258,0.16870117,-0.7838168
831,1.0864258,0.16870117,-0.010498047
835,1.1865234,24.349155,-0.6410687
839,1.1865234,-0.14770508,-0.6410687
840,1.1865234,-0.14770508,0.10888672
844,0.58154297,25.339949,-0.84580153
845,0.58154297,-0.16723633,-0.84580153
846,0.58154297,-0.16723633,-0.0017089844
847,1.3312988,26.383106,-1.5290077
848,1.3312988,0.078125,-1.5290077
849,1.3312988,0.078125,0.015136719
856,0.95166016,28.039902,-1.5905344
857,0.95166016,-0.032714844,-1.5905344
858,0.95166016,-0.032714844,0.1730957
862,1.0795898,28.90654,-1.4738932
863,1.0795898,0.06347656,-1.4738932
864,1.0795898,0.06347656,0.18139648
865,0.9975586,30.378881,-1.258168
866,0.9975586,0.014892578,-1.258168
870,0.9975586,0.014892578,-0.1550293
871,1.1943359,31.331026,-1.4535878
872,1.1943359,-0.2319336,-1.4535878
873,1.1943359,-0.2319336,0.2368164
877,0.94140625,32.104958,-1.037252
881,0.94140625,0.17578125,-1.037252
882,0.94140625,0.17578125,-0.045654297
886,1.0461426,33.54474,-1.2952672
887,1.0461426,0.1574707,-1.2952672
888,1.0461426,0.1574707,-0.035888672
889,1.2312012,34.326687,-2.096794
890,1.2312012,-0.43920898,-2.096794
894,1.2312012,-0.43920898,0.13574219
898,1.0859375,35.360863,-1.1508397
899,1.0859375,0.02368164,-1.1508397
900,1.0859375,0.02368164,-0.020263672
901,0.5258789,36.29359,-1.2940458
902,0.5258789,-0.078125,-1.2940458
903,0.5258789,-0.078125,-0.08081055
910,1.2346191,37.352272,-1.3035115
911,1.2346191,0.033203125,-1.3035115
912,1.2346191,0.033203125,0.20947266
913,1.0639648,37.62472,-1.1082443
914,1.0639648,-0.026367188,-1.1082443
915,1.0639648,-0.026367188,0.03857422
922,1.0224609,38.692715,-1.3596947
923,1.0224609,-0.053955078,-1.3596947
924,1.0224609,-0.053955078,0.11645508
925,1.0322266,39.75623,-1.8137405
926,1.0322266,0.018798828,-1.8137405
927,1.0322266,0.018798828,0.07348633
931,1.020752,40.449768,-1.8509924
935,1.020752,0.057861328,-1.8509924
936,1.020752,0.057861328,-0.038330078
940,1.0700684,41.464417,-1.8818321
941,1.0700684,0.012939453,-1.8818321
942,1.0700684,0.012939453,-0.103271484
943,1.0625,42.48115,-1.8731298
944,1.0625,0.016113281,-1.8731298
945,1.0625,0.016113281,0.025878906
949,1.0612793,43.491108,-1.876794
950,1.0612793,0.005126953,-1.876794
951,1.0612793,0.005126953,0.021484375
956,1.0593262,44.486004,-1.8748093
957,1.0593262,0.0009765625,-1.8748093
960,1.0593262,0.0009765625,0.01928711
961,1.0600586,45.45755,-1.8752673
962,1.0600586,0.0068359375,-1.8752673
966,1.0600586,0.0068359375,0.015380859
1,1.0688477,1.8617269,0.00091603055
2,1.0688477,-0.00390625,0.00091603055
3,1.0688477,-0.00390625,0.011962891
10,1.0742188,3.6839643,0.001221374
11,1.0742188,-0.00048828125,0.001221374
12,1.0742188,-0.00048828125,0.013183594
15,1.0625,5.468171,0.002290076
16,1.0625,0.0017089844,0.002290076
17,1.0625,0.0017089844,0.013183594
19,1.064209,7.2177873,0.004580152
23,1.064209,0.00024414062,0.004580152
24,1.064209,0.00024414062,0.010986328
28,1.0603027,8.928444,0.0050381673
29,1.0603027,-0.0031738281,0.0050381673
30,1.0603027,-0.0031738281,0.01928711
31,1.0708008,10.609028,0.005343511
32,1.0708008,-0.008300781,0.005343511
36,1.0708008,-0.008300781,0.016357422
37,1.0651855,12.255407,0.010229006
38,1.0651855,0.0007324219,0.010229006
39,1.0651855,0.0007324219,0.0087890625
43,1.0688477,13.861421,0.010229006
44,1.0688477,-0.001953125,0.010229006
45,1.0688477,-0.001953125,0.013916016
