timestamp,roll,pitch,yaw
175,1.0661621,-0.001953125,0.011962891
176,1.0661621,-0.001953125,0.011962891
177,1.0661621,-0.001953125,0.011962891
178,1.0637207,0.00048828125,0.01928711
179,1.0637207,0.00048828125,0.01928711
180,1.0637207,0.00048828125,0.01928711
181,0.5150492,5.458348,0.01928711
182,0.5150492,5.458348,0.01928711
183,1.0546875,5.458348,0.0076335883
184,1.0603027,-0.001953125,0.017822266
185,1.0603027,-0.001953125,0.017822266
186,1.0603027,-0.001953125,0.017822266
187,1.0639648,-0.0014648438,0.013427734
188,1.0639648,-0.0014648438,0.013427734
189,1.0639648,-0.0014648438,0.013427734
190,0.94344413,-0.0014648438,0.013427734
191,0.94344413,10.579885,0.016183207
192,0.94344413,10.579885,0.016183207
193,1.1657342,0.0048828125,0.009521484
194,1.1657342,12.220089,0.009521484
195,1.1657342,12.220089,0.019389313
196,1.2129582,0.0009765625,0.015136719
197,1.2129582,13.831525,0.015136719
198,1.2129582,13.831525,0.020152671
199,1.3059806,-0.005859375,0.019042969
200,1.3059806,15.407385,0.019042969
201,1.3059806,15.407385,0.024885496
202,1.0722656,16.95105,0.023664122
203,1.0722656,16.95105,0.023664122
204,1.0722656,16.95105,0.023664122
205,1.065918,-0.009033203,0.025634766
206,1.065918,-0.009033203,0.025634766
207,1.065918,-0.009033203,0.025634766
208,1.8343419,-0.009033203,0.025634766
209,1.8343419,19.949451,0.025634766
210,1.8343419,19.949451,0.027633589
211,1.647902,-0.0056152344,0.022460938
212,1.647902,21.404718,0.022460938
213,1.647902,21.404718,0.028854962
214,1.6396606,-0.0068359375,0.020996094
215,1.6396606,22.826023,0.020996094
216,1.6396606,22.826023,0.030839695
217,1.5989125,-0.004638672,0.017822266
218,1.5989125,24.211988,0.017822266
219,1.5989125,24.211988,0.034503818
220,1.5060499,0.0012207031,0.015136719
221,1.5060499,25.58333,0.015136719
222,1.5060499,25.58333,0.035114504
223,1.0625,0.005859375,0.020507812
224,1.0625,0.005859375,0.020507812
225,1.0625,0.005859375,0.020507812
226,1.0610352,28.235785,0.03877863
227,1.0610352,28.235785,0.03877863
228,1.0610352,28.235785,0.03877863
229,2.1632805,-0.0029296875,0.025146484
