time,data
2025-12-02T01:12:43.784Z,50.438152
2025-12-02T01:12:44.588Z,50.060852
2025-12-02T01:12:45.353Z,50.163754
2025-12-02T01:12:46.192Z,50.060852
2025-12-02T01:12:46.989Z,5.773833
2025-12-02T01:12:47.898Z,24.513067
2025-12-02T01:12:48.701Z,10.632999
2025-12-02T01:12:49.447Z,35.70058
2025-12-02T01:12:50.410Z,50.169464
2025-12-02T01:12:51.109Z,50.289516
2025-12-02T01:12:51.913Z,50.421
2025-12-02T01:12:52.815Z,50.752563
2025-12-02T01:12:53.618Z,50.186615
2025-12-02T01:12:54.424Z,46.350735
2025-12-02T01:12:55.225Z,50.180897
2025-12-02T01:12:56.127Z,50.055134
2025-12-02T01:12:56.930Z,50.060852
2025-12-02T01:12:57.734Z,50.066563
2025-12-02T01:12:58.536Z,50.306667
2025-12-02T01:12:59.296Z,52.564747
2025-12-02T01:13:00.141Z,50.30095
2025-12-02T01:13:00.927Z,50.306667
2025-12-02T01:13:01.752Z,50.421
2025-12-02T01:13:02.650Z,50.426716
2025-12-02T01:13:03.453Z,49.900784
2025-12-02T01:13:04.256Z,44.241283
2025-12-02T01:13:05.162Z,50.30095
2025-12-02T01:13:05.861Z,50.129444
2025-12-02T01:13:06.764Z,43.355198
2025-12-02T01:13:07.570Z,50.180897
2025-12-02T01:13:08.371Z,50.186615
2025-12-02T01:13:09.129Z,50.438152
2025-12-02T01:13:09.977Z,50.180897
2025-12-02T01:13:10.780Z,50.180897
2025-12-02T01:13:11.593Z,50.152313
2025-12-02T01:13:12.486Z,50.055134
2025-12-02T01:13:13.230Z,50.0094
2025-12-02T01:13:14.090Z,50.426716
2025-12-02T02:20:33.853Z,48.86607
2025-12-02T02:20:34.652Z,48.871784
2025-12-02T02:20:35.455Z,48.854633
2025-12-02T02:20:36.272Z,48.8432
2025-12-02T02:20:37.161Z,48.8775
2025-12-02T02:20:37.963Z,48.854633
2025-12-02T02:20:38.766Z,48.854633
2025-12-02T02:20:39.569Z,48.86607
2025-12-02T02:20:40.374Z,33.49967
2025-12-02T02:20:41.280Z,48.86035
2025-12-02T02:20:42.078Z,48.86035
2025-12-02T02:20:42.881Z,48.86035
2025-12-02T02:20:43.621Z,48.871784
2025-12-02T03:20:15.309Z,-1
2025-12-02T03:20:16.010Z,-1
2025-12-02T03:20:16.712Z,-1
2025-12-02T03:20:17.414Z,-1
2025-12-02T03:20:18.118Z,-1
2025-12-02T03:20:18.819Z,-1
2025-12-02T03:20:19.521Z,-1
2025-12-02T03:20:20.224Z,-1
2025-12-02T03:20:20.926Z,-1
2025-12-02T03:20:21.629Z,-1
2025-12-02T03:20:54.645Z,-1
2025-12-02T03:20:54.797Z,-1
2025-12-02T03:20:55.046Z,-1
2025-12-02T03:20:55.347Z,-1
2025-12-02T03:20:55.652Z,-1
2025-12-02T03:20:55.849Z,-1
2025-12-02T03:20:56.250Z,-1
2025-12-02T03:20:56.451Z,-1
2025-12-02T03:20:56.651Z,-1
2025-12-02T03:20:56.856Z,-1
2025-12-02T03:20:56.958Z,-1
2025-12-02T03:20:57.254Z,-1
2025-12-02T03:20:57.660Z,-1
2025-12-02T03:20:57.857Z,-1
2025-12-02T03:20:58.060Z,-1
2025-12-02T03:20:58.257Z,-1
2025-12-02T03:20:58.563Z,-1
2025-12-02T03:20:58.635Z,-1
2025-12-02T03:20:58.872Z,-1
2025-12-02T03:20:59.160Z,-1
2025-12-02T03:20:59.361Z,-1
2025-12-02T03:20:59.663Z,-1
2025-12-02T03:20:59.968Z,-1
2025-12-02T03:21:00.072Z,-1
2025-12-02T03:21:00.365Z,-1
2025-12-02T03:21:00.767Z,-1
2025-12-02T03:21:00.872Z,-1
2025-12-02T03:21:01.067Z,-1
2025-12-02T03:21:01.368Z,-1
2025-12-02T03:21:01.770Z,-1
2025-12-02T03:21:01.972Z,-1
2025-12-02T03:21:02.082Z,-1
2025-12-02T03:21:02.245Z,-1
2025-12-02T03:21:02.581Z,-1
2025-12-02T03:21:02.721Z,-1
2025-12-02T03:21:02.974Z,-1
2025-12-02T03:21:03.275Z,-1
2025-12-02T03:21:03.677Z,-1
2025-12-02T03:21:03.877Z,-1
2025-12-02T03:21:04.077Z,-1
2025-12-02T03:21:04.278Z,-1
2025-12-02T03:21:04.485Z,-1
2025-12-02T03:21:04.680Z,-1
2025-12-02T03:21:04.981Z,-1
2025-12-02T03:21:05.383Z,-1
2025-12-02T03:21:05.583Z,-1
